guest_id,first_name,last_name,phone.no,email
61,Sarah,Oaks,569-322-0134,sarah.oaks@gmail.com
62,John,Treys,432-607-8094,john.treys@yahoo.com
63,Emily,Duncans,765-980-4444,emily.duncans@hotmail.com
64,Amanda,Ink,556-000-3425,amanda.ink@yahoo.com
65,Queen,Maya,333-562-1111,queen.maya@gmail.com
66,Rita,Greggs,347-678-9000,"rita,greggs@gmail.com"
67,Betty,Woods,646-876-9870,betty.woods#hotmail.com
68,Zara,Albert,231-765-4569,zara.albert@hotmail.com
69,Portia,Polls,915-543-2222,portia.polls@gmail.com
70,Peter,Drolls,876-555-5432,peter.drolls@hotmail.com
71,Kukie,Hams,714-766-4320,kukie.hams@gmail.com
72,Tracy,Carton,324-776-0923,tracy.carton@yahoo.com
73,Uriah,Biston,449-000-7897,uriah.biston@gmail.com
74,Azariah,Bens,564-234-5555,azariah.bens@gmail.com
75,Grace,Phillips,324-567-8766,grace.phillips@yahoo.com
76,Dion,Tills,211-890-3456,dion.tills@hotmail.com
77,Fiona,Mars,655-894-4556,fiona.mars@hotmail.com
78,Anold,Ampy,916-780-3333,anold.ampy@yahoo.com
79,Trish,Wells,219-567-2654,trish.wells@gmail.com
80,Chris,Martin,657-873-7777,chris.martin@gmail.com
