id,first_name,last_name,email,"phone n.o"
1,"Snow ",Reeds,snow.reeds@gmail.com,567-080-1843
2,"Peter ",White,peter.white@hotmail.com,654-030-2110
3,Amos,Red,amos.red@gmail.com,200-902-3041
4,Anabel,High,anabel.high@gmail.com,321-090-4059
5,"Trish ","Sweets ",trish.sweets@yahoo.com,512-333-2012
6,Chantel,Leak,chantel.leak@hotmail.com,212-454-2213
7,Lori,Kenneth,lori.kenneth@gmail.com,321-431-9001
8,"Courtney ",Harvey,courtney.harvey@gmail.com,402-906-0213
9,Rick,Jones,rick.jones@gmail.com,506-000-2134
10,Sarah,Ross,sarah.ross@gmail.com,312-433-9056
11,Fiona,Wales,fiona.wales@gmail.com,601-456-2245
12,Zack,Suite,zack.suite@yahoo.com,701-009-3455
13,Cory,Tipton,"cory,tipton@gmail.com",821-432-0821
14,Raven,Banks,raven.banks@hotmail.com,256-704-4040
15,Amanda,Blue,amanda.blue@gmail.com,450-001-3234
16,Karen,Sky,karen.sky@hotmail.com,509-021-1111
17,Yolanda,Bens,yolanda.bens@yahoo.com,901-305-6548
18,Mirabel,Biston,mirabel.biston@gmail.com,310-033-2900
19,Angel,Hover,angel.hover@gmail.com,600-044-5555
20,"Troy ",Bolton,troy.bolton@gmail.com,290-913-3232
